Sample in Buffer,Sample in Window,TRIGGER,M_ADC_DATA[11:0]
881,881,0,2334
882,882,0,1680
883,883,0,2106
884,884,0,2357
885,885,0,1675
886,886,0,2104
887,887,0,2362
888,888,0,1668
889,889,0,2190
890,890,0,2318
891,891,0,1659
892,892,0,2171
893,893,0,2306
894,894,0,1656
895,895,0,2191
896,896,0,2283
897,897,0,1650
898,898,0,2239
899,899,0,2269
900,900,0,1650
901,901,0,2285
902,902,0,2223
903,903,0,1650
904,904,0,2305
905,905,0,2150
906,906,0,1664
907,907,0,2315
908,908,0,2155
909,909,0,1663
910,910,0,2320
911,911,0,2152
912,912,0,1668
913,913,0,2366
914,914,0,2119
915,915,0,1665
916,916,0,2350
917,917,0,2111
918,918,0,1667
919,919,0,2358
920,920,0,2098
921,921,0,1688
922,922,0,2388
923,923,0,2081
924,924,0,1691
925,925,0,2394
926,926,0,2082
927,927,0,1689
928,928,0,2407
929,929,0,2012
930,930,0,1705
931,931,0,2400
932,932,0,2035
933,933,0,1733
934,934,0,2419
935,935,0,1998
936,936,0,1755
937,937,0,2441
938,938,0,1927
939,939,0,1752
940,940,0,2438
941,941,0,1922
942,942,0,1779
943,943,0,2439
944,944,0,1868
945,945,0,1867
946,946,0,2446
947,947,0,1843
948,948,0,1834
949,949,0,2447
950,950,0,1821
951,951,0,1869
952,952,0,2446
953,953,0,1774
954,954,0,1902
955,955,0,2440
956,956,0,1768
957,957,0,1943
958,958,0,2431
959,959,0,1752
960,960,0,1979
961,961,0,2399
962,962,0,1724
963,963,0,2005
964,964,0,2407
965,965,0,1715
966,966,0,2027
967,967,0,2390
968,968,0,1689
969,969,0,2118
970,970,0,2354
971,971,0,1680
972,972,0,2118
973,973,0,2346
974,974,0,1675
975,975,0,2119
976,976,0,2326
977,977,0,1655
978,978,0,2195
979,979,0,2293
980,980,0,1656
981,981,0,2214
982,982,0,2286
983,983,0,1655
984,984,0,2247
985,985,0,2212
986,986,0,1657
987,987,0,2272
988,988,0,2175
989,989,0,1667
990,990,0,2323
991,991,0,2164
992,992,0,1683
993,993,0,2373
994,994,0,2065
995,995,0,1696
996,996,0,2377
997,997,0,2047
998,998,0,1711
999,999,0,2393
1000,1000,0,1990
1001,1001,0,1761
1002,1002,0,2416
1003,1003,0,1975
1004,1004,0,1760
1005,1005,0,2427
1006,1006,0,1927
1007,1007,0,1789
1008,1008,0,2434
1009,1009,0,1851
1010,1010,0,1861
1011,1011,0,2437
1012,1012,0,1836
1013,1013,0,1887
1014,1014,0,2433
1015,1015,0,1818
1016,1016,0,1921
1017,1017,0,2420
1018,1018,0,1776
1019,1019,0,1925
1020,1020,0,2423
1021,1021,0,1764
1022,1022,0,1961
1023,1023,0,2421
1024,1024,0,1736
1025,1025,0,2043
1026,1026,0,2399
1027,1027,0,1724
1028,1028,0,2037
1029,1029,0,2384
1030,1030,0,1718
1031,1031,0,2070
1032,1032,0,2363
1033,1033,0,1667
1034,1034,0,2134
1035,1035,0,2342
1036,1036,0,1663
1037,1037,0,2191
1038,1038,0,2304
1039,1039,0,1655
1040,1040,0,2237
1041,1041,0,2223
1042,1042,0,1651
1043,1043,0,2251
1044,1044,0,2231
1045,1045,0,1651
1046,1046,0,2267
1047,1047,0,2213
1048,1048,0,1650
1049,1049,0,2340
1050,1050,0,2143
1051,1051,0,1656
1052,1052,0,2332
1053,1053,0,2125
1054,1054,0,1658
1055,1055,0,2342
1056,1056,0,2114
1057,1057,0,1687
1058,1058,0,2383
1059,1059,0,2082
1060,1060,0,1679
1061,1061,0,2411
1062,1062,0,2041
1063,1063,0,1689
1064,1064,0,2424
1065,1065,0,1962
1066,1066,0,1727
1067,1067,0,2434
1068,1068,0,1970
1069,1069,0,1750
1070,1070,0,2453
1071,1071,0,1935
1072,1072,0,1785
1073,1073,0,2470
1074,1074,0,1874
1075,1075,0,1802
1076,1076,0,2475
1077,1077,0,1831
1078,1078,0,1842
1079,1079,0,2478
1080,1080,0,1777
1081,1081,0,1926
1082,1082,0,2473
1083,1083,0,1770
1084,1084,0,1918
1085,1085,0,2473
